시도,시군구,총계,청소년수련관,청소년문화의집,청소년수련원,청소년야영장,유스호스텔,청소년특화시설
충남,당진시,3,0,3,0,0,0,0
충남,보령시,2,1,1,0,0,0,0
충남,부여군,4,0,1,1,0,2,0
충남,서산시,6,1,2,3,0,0,0
충남,서천군,3,1,1,0,0,1,0
충남,아산시,2,1,1,0,0,0,0
충남,예산군,2,1,1,0,0,0,0
충남,천안시,5,2,1,1,0,1,0
충남,청양군,4,0,1,2,1,0,0
충남,태안군,5,1,0,3,1,0,0
충남,홍성군,2,1,1,0,0,0,0
충북,괴산군,6,0,1,4,0,1,0
충북,단양군,4,1,2,1,0,0,0
충북,보은군,3,1,0,1,0,1,0
충북,영동군,3,1,1,1,0,0,0
충북,옥천군,3,1,2,0,0,0,0
충북,음성군,5,0,3,2,0,0,0
충북,제천시,9,1,2,4,0,2,0
충북,증평군,2,1,1,0,0,0,0
충북,진천군,3,1,1,1,0,0,0
충북,청주시,5,1,3,1,0,0,0
충북,충주시,6,0,2,3,1,0,0
